proj_uid,PovertyChange2000,ChangeLFP00,Manuf1970Change,FamilyIncome2000Change,PopulationChange2000,logTotalPopulation,AvGini20112014,PrePostRecessionChange,UV_place,city,state,fips,displayname,citylongitude,citylatitude,TotalPopulation,Unemployment16up,LaborForce16up,Manuf,MedianFamilyIncome,MedianHouseholdIncome,ForeignBorn,FamilieswithChildren,percentPop2064,Poverty,White,BachPlus25up,HousingPre1980,VacancyRate,HomeAffordability,OwnerOccupied,High30GrossRent,MedianMonthlyHousingCosts,BWDI,HWDI,CBSA_POP_2022_5yr,SA_Part_Est2022,logSA_Part,geo_flag
orange_CA,-1.8768867,-.39040965,-65.840614,9.1782341,7.690516,11.84027,.3569786969363972,.0044271190461604,0653980,Orange,California,653980,"Orange, California",-117.834029,33.801417,138728,4.6909871,66.108078,8.9084339,124289,109335,21.578917,46.487846,62.055241,4.9632063,41.01263,40.266964,65.706474,3.7575703,7.7578087,58.875404,52.17366,2323,41.619118,32.273083,13111917,1.0580299,-4.5487618,Place
orange_NJ,6.2258706,1.2322965,-84.821945,-18.983322,3.2067664,10.431819,.4013069125230087,.0270853072481887,3.4e+09,Orange,New Jersey,3401313045,"Orange, New Jersey",-74.234904,40.769284,33922,9.2772322,63.4767,3.8405313,58349,50607,40.139141,61.976994,58.139259,21.615473,5.9400978,19.514315,80.055588,6.9035454,6.0130019,22.109255,57.50864,1513,38.948586,42.64782,19908595,.17038873,-6.3748431,Township
orange_TX,-5.7849841,3.8763628,-54.359966,7.0221605,3.1003594,9.863759,.3365498112855082,.020211722051188,4854132,Orange,Texas,4854132,"Orange, Texas",-93.75552999999999,30.11451,19221,8.7385321,59.794731,17.014324,70703,58756,4.2193437,47.740364,54.164715,14.665484,55.616253,16.047152,64.623604,21.526041,2.3861394,56.629475,49.400143,960,66.965599,22.277283,396279,4.8503704,-3.0261152,Place
orem_UT,.8958649,2.4698033,-67.711693,-6.6075673,15.151083,11.483497,.3343200084116919,.0012213934605889,4957300,Orem,Utah,4957300,"Orem, Utah",-111.698931,40.299047,97100,3.3907018,71.30175,8.1742039,84323,77568,12.044285,49.774963,58.258499,6.7161894,74.639549,42.225452,39.124722,5.4055748,5.0652332,59.899467,46.296616,1331,60.49297,22.926319,677964,14.322294,-1.9433528,Place
orlandpark_IL,2.0541177,-2.8394454,-67.441956,-13.504375,14.229497,10.974129,.3156443714660763,-.0044437646144038,1756640,Orland Park,Illinois,1756640,"Orland Park, Illinois",-87.853807,41.608633,58345,4.4964519,60.542618,8.4946775,118190,97365,14.614791,38.10989,53.190506,4.1569858,79.482391,43.222134,31.758734,5.1941085,3.4694192,85.909485,56.548016,1501,29.516493,29.720884,9566955,.6098597,-5.0996966,Place
orlando_FL,-.87437445,2.7146516,-58.941364,4.6310515,65.494141,12.637004,.3487792616642664,.0085753072246484,1253000,Orlando,Florida,1253000,"Orlando, Florida",-81.38302,28.527483,307738,5.194171,71.259125,4.3017249,74980,66292,22.532154,49.679741,66.763939,12.433956,34.175827,41.651672,34.242989,15.078579,5.0187049,39.230225,55.619247,1500,61.778408,39.41246,2679298,11.485769,-2.1640613,Place
oshkosh_WI,1.9405861,-1.6687979,-30.688936,-7.1431541,5.494628,11.103045,.2952835208233918,.0154823281173094,5560500,Oshkosh,Wisconsin,5560500,"Oshkosh, Wisconsin",-88.553712,44.025495,66373,2.943222,64.192215,20.897705,79958,59186,3.8735633,46.37714,63.219982,7.1627841,83.464661,26.96949,60.090977,7.066463,2.6509647,55.460899,41.446037,918,53.813999,35.87989,171197,38.769955,-.94752461,Place
ottumwa_IA,4.6421938,3.7838736,-13.153678,-6.5895071,1.4441155,10.140889,.2695961185081814,.0018634277346469,1960465,Ottumwa,Iowa,1960465,"Ottumwa, Iowa",-92.41784800000001,41.015911,25359,4.5261335,63.320541,26.176933,61429,53085,11.203123,53.628902,58.06617,15.525402,73.709526,19.328226,83.799469,10.281442,1.672789,58.945202,49.059444,845,24.697584,16.323084,35292,71.854813,-.3305226,Place
overlandpark_KS,.24388412,-.4769052,-60.997868,-3.0804274,31.926483,12.189313,.3214760519342199,.0057222754249755,2053775,Overland Park,Kansas,2053775,"Overland Park, Kansas",-94.686176,38.920323,196676,3.2323127,71.775574,7.1536021,131868,100876,11.410136,47.227268,59.551239,2.3859332,75.585732,62.505138,34.907192,4.6276102,3.5865815,62.356621,36.510433,1480,36.626854,31.854565,2190750,8.9775648,-2.4104416,Place
owensboro_KY,2.829704,-3.4036999,-47.331356,-8.206461,11.008564,11.002417,.3007067021759767,.0070173954913809,2158620,Owensboro,Kentucky,2158620,"Owensboro, Kentucky",-87.11681,37.754104,60019,4.1965384,58.331402,16.259117,66889,51982,4.240324,51.067722,55.389126,15.070164,81.645813,25.567335,66.201286,8.0377645,2.9202416,57.071507,44.627029,903,29.165895,28.763994,121147,49.542294,-.70234346,Place
